most_recommend_rtv_program,least_recommend_rtv_program,most_recommend_rtv_program_reason,least_recommend_rtv_program_reason
1.0,5.0,To improve household food security and nutrition which has boosted individual ability to work more and expand agriculture which improves crop yields and hence household poverty reduction.,Low saving capacity due to limited sources of incomes and lack of individual trust in saving with Vslas due to associated with some groups in the village.
1.0,5.0,The active beneficiaries of the program were taught new and cost effective methods of farming for improved food security,"The respondent didn't benefit from the program at all. But it seems he was not an active caver and was not very ,uch involved in RTV business"
3.0,99.0,Water is highly recommended as we were given a tank that has reduced distances for collecting water and VSLAS have brought in savings,All programs are recommended because water has helped us that we used to travel long distance for water agriculture has improved our standards of living
4.0,3.0,"Because if u are alive u do what u fill like at time since life is evry thing in the world 
Nothing can be done if some one is sick","Since am surrounded by many water sources I consider water as the least to be recommended 
Because am near by water sources"
3.0,99.0,"Ever since a clean and safe water source was introduced,  sanitation and hygiene in our community has greatly improved and people are no longer reporting cases of water borne illnesses","Agricultural practices and seedlings, water sources , trainings on hygiene have all helped us improve our productivity and income has increased."
,,,
1.0,4.0,Because the program has helped us to have increased incomes and harvests hence l highly recommend it to other villages for the better development,Because we still have a problem of accessing better health services in our village hence l don't recommend the program to others
,,,
2.0,99.0,"She says the wash programs those days helped them to promote good sanitation and hygiene at the households 
That all the households has tippy taps  double dish racks,clean compounds among others","None is least recommended because there's no program that was less important during the time of implementation that is they benefited from all the
 Programs brought up by rtv"
,,,
5.0,99.0,Under this programme people and society at large have been able to save money and borrow Under the village startup fund,"Most of those programs have been implemented in the region, and this is slowly developing the region thus improved standards of living"
1.0,3.0,Agriculture and nutrition is most recommended because it has helped to promote food security in the households and community at large,"Water is least recommended because they don't have access to clean water,they walk long distances to collect water from swamps and this has also increased the rate of illnesess"
1.0,5.0,Agriculture and nutrition is good because we were helped to know the best agricultural practices which have helped to improve agricultural production in our are,Vsla wasn't like by this person because people i their area tend not to operate  which end up causing losses to the other innocent members
5.0,2.0,I got money from raising the village which helped me to come out from the poverty and increased on my income and savings in my family,We still have problems of health  because to get health services in my village we still moved some distances for good health
,,,
2.0,99.0,The respondent most recommends the WASH program because it has helped in the improvement of the household's hygiene and sanitation thus helping in the prevention of diseases.,The respondent highly recommends all the rtv program because according to her all have been very important in the improving of the standards of living of the people.
,,,
,,,
1.0,5.0,Because we were given seeds of beans and groundnuts and the yield was good so its good for raising the village to be in our village,"The startup capital was very small and atleast if it could b3 at around 1,000,000 like that of PDM I think it would be better for us"
1.0,99.0,This program  has encouraged  us to engage  in growing  many varieties  of crops and has taught us on how to use improved  methods of agriculture,"They have all helped us because  for VSLAs...they enable us save and plan for the future  
And for water access  ..it helps  us get access  to clean water"
5.0,99.0,They have adopted a saving culture which was not part of the household before rtv interventions took place and so they are happy for it,"All programs are being treated with equal importance and they hope to benefit from all 
They are hoping to benefit more from all the probrams"
1.0,99.0,This has improved on food production through improved agricultural practices such as use of improved seeds and application of manure,"All programs of Raising The village are beneficial especially WASH, VLAS and agricultural practices because these have greatly improved on lives of members"
2.0,5.0,Because WASH is a crucial thing and it comprises of things that can prevent many diseases.  Clean water sanitation and healthy access are so important more than something else,VSLAS are important but they are not more important than wash because you can get sick if you don't ensure sanitation clean water and health access.  You can't save money when you are sick
1.0,4.0,Agriculture productivity has been boosted through planting improved seeds hence increasing food society z credit goes to the raising the village tesm,Healthy facilities are still in a distance where by people move long distances to get health facilities and hence they cry out to raising the village
,,,
1.0,99.0,We used compost manure and our soil is fertile again. Use of organic Pesticides have reduced crop diseases and parasites.  We now harvest more than before,We are at a better economic growth rate and we are thankful of the endless efforts by raising the village to make sure we earn from our agriculture
