most_recommend_rtv_program,least_recommend_rtv_program,most_recommend_rtv_program_reason,least_recommend_rtv_program_reason,HH Income + Production/Day (USD),target_binary
1.0,3.0,Agriculture have improved the income status in our homes thus selling produce and met immediate need and also having enough food in the household.,Water is least recommend because water is available in the village not far and clean (tap) thus having enough source of water that's why it's least recommended.,1.573491299518697,0
1.0,3.0,Agriculture is  recommended because  under  live stock some  members  did not receive  live stock simply  because the first beneficiaries  did not  comply  to what rtv tought  them for example every  who was supposed  to give the neighbour  an offspring  did nit comply,Water is the least recommended  because  Rtv  constructed  protected  spring. That water is safe clean  and can not affected  by prolonged  sunshine,5.900777489818586,1
1.0,99.0,This program  has encouraged  us to engage  in growing  many varieties  of crops and has taught us on how to use improved  methods of agriculture,"They have all helped us because  for VSLAs...they enable us save and plan for the future  
And for water access  ..it helps  us get access  to clean water",2.0894113291373566,0
5.0,99.0,This program has helped the household to learn financial discipline and through this they are able to acquire quick loans,All rtv programs mentioned have helped to improve the living standards of people and thus they are all highly recommend to other peers,2.0577563865235096,0
2.0,99.0,Through this program the Household has been able to improve  the sanitation for example washing hands after latrine use and this has helped to get rid of typhoid cases,"All RTV programs have been helped to the Household  therefore they are all recommended to the peers for example wash,water,water and sanitation",1.1121806738245097,0
1.0,5.0,"For domestication by facilitating the domestication of plants and animals for human use ,for economic development by providing a basis for trade and economic development",For saving mobilisation to encourage members to save regularly building a habit of saving and accumulating capital overtimeand the to be inclusive in finance for the provision of finance services to those who are underbanked,2.582006664198445,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.2624953720844132,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.4239170677526842,0
1.0,5.0,Under agriculture there free and improved seeds with high yields and there is livestock. These increase household income and provides food to the household,Most people have limited funds to invest in VSLAs and others have attendecy of not paying back in time thus VSLAs are less recommended,3.0277674935209182,1
1.0,99.0,"Agriculture and nutrition because it has brought trainings which have helped them to make their own liquid, organic and composit manure","Reason that all the programs are doing well in their community gave an example VSLAs taught them how to start saving,  health treats helped them to get professional medical teams to treat them",4.315808959644576,1
1.0,99.0,"I have seen improvement on my farm and the yields are getting high every season. 
I believe to have great farming practices in the future","I don't least recommend because I have seen many people benefit from different programs.  
I have been able to save money and also Improve on family health",1.539800074046649,0
